tenure_weeks,total_orders,total_skips,order_completion_rate,avg_order_value,avg_recipe_rating,lifetime_recipes_rated,lifetime_recipes_received,rating_engagement_rate,menu_customisation_rate,early_avg_rating,late_avg_rating,rating_trend,early_order_freq,late_order_freq,frequency_trend,initial_discount_pct,weekly_price_gbp,discount_dependency_rate,avg_discount_pct,total_tickets,delivery_complaints,avg_resolution_days,tickets_per_tenure_month,household_size,meals_per_week,acquisition_channel_Influencer,acquisition_channel_Organic search,acquisition_channel_Paid social,acquisition_channel_Referral,acquisition_channel_TV/brand,age_band_25-34,age_band_35-44,age_band_45-54,age_band_55+,region_Midlands,region_North,region_Scotland,region_South East,region_Wales,dietary_preference_Family-friendly,dietary_preference_Pescatarian,dietary_preference_Vegan,dietary_preference_Veggie,plan_type_2-person,plan_type_3-person,plan_type_4-person+,churned
40.857142857142854,28.0,14.0,0.6666666666666666,42.10214285714286,3.036,72.0,168.0,0.42857142857142855,0.0,3.1,2.5,-0.6000000000000001,1.0,0.25,-0.75,54,70.02,0.0,0.0,2.0,1.0,2.0,0.147409200968523,3,6,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
80.57142857142857,68.0,14.0,0.8292682926829268,32.2809756097561,2.976923076923077,127.0,272.0,0.46691176470588236,0.0,2.6666666666666665,3.1666666666666665,0.5,0.75,0.75,0.0,59,43.68,0.0,0.0,0.0,0.0,0.0,0.0,4,4,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0
25.714285714285715,18.0,8.0,0.6923076923076923,28.746923076923075,3.105882352941176,46.0,108.0,0.42592592592592593,0.0,3.4,2.9,-0.5,1.0,0.25,-0.75,44,48.4,0.0,0.0,1.0,0.0,4.0,0.03427927927927928,3,6,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,1
118.28571428571429,111.0,9.0,0.925,53.743500000000004,3.537837837837838,317.0,555.0,0.5711711711711712,0.0,3.4000000000000004,3.6,0.19999999999999973,1.0,0.75,-0.25,25,59.92,0.0,0.0,0.0,0.0,0.0,0.0,2,5,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0
46.857142857142854,42.0,6.0,0.875,60.93291666666667,3.4690476190476187,144.0,252.0,0.5714285714285714,0.0,3.8333333333333335,3.225,-0.6083333333333334,0.75,1.0,0.25,22,71.96,0.0,0.0,0.0,0.0,0.0,0.0,3,6,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,0
30.0,19.0,11.0,0.6333333333333333,13.635333333333334,2.9071428571428575,22.0,57.0,0.38596491228070173,0.0,3.35,3.6,0.25,0.75,0.5,-0.25,60,24.01,0.0,0.0,1.0,0.0,1.0,0.043116147308781876,4,3,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
60.857142857142854,39.0,23.0,0.6290322580645161,9.55225806451613,2.8518518518518516,44.0,117.0,0.37606837606837606,0.0,2.6666666666666665,2.3,-0.3666666666666667,0.75,0.25,-0.5,49,17.14,0.0,0.0,4.0,2.0,3.75,0.13120689655172416,2,3,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
2.857142857142857,2.0,2.0,0.5,13.0275,2.95,5.0,8.0,0.625,0.0,3.2499999999999996,3.0999999999999996,-0.22499999999999987,0.0,0.0,0.0,40,44.63,0.0,0.0,5.0,1.0,4.0,0.3294372294372295,1,4,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1
3.5714285714285716,4.0,0.0,1.0,16.1575,2.5,5.0,16.0,0.3125,0.0,3.2499999999999996,3.0999999999999996,-0.22499999999999987,0.0,0.0,0.0,68,34.9,0.0,0.0,2.0,2.0,6.0,0.761,1,4,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,1
45.42857142857143,33.0,13.0,0.717391304347826,61.66717391304348,3.2448275862068963,136.0,330.0,0.4121212121212121,0.0,3.55,3.0999999999999996,-0.22499999999999987,1.0,0.0,-1.0,28,89.99,0.0,0.0,2.0,0.0,4.5,0.17801169590643276,4,10+,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,1
3.7142857142857144,2.0,2.0,0.5,14.4825,3.5,2.0,8.0,0.25,0.0,3.2499999999999996,3.0999999999999996,-0.22499999999999987,0.0,0.0,0.0,39,47.24,0.0,0.0,4.0,3.0,4.5,0.18589312977099237,1,4,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,1
5.285714285714286,6.0,0.0,1.0,43.54333333333333,2.44,9.0,36.0,0.25,0.0,3.2499999999999996,3.0999999999999996,-0.22499999999999987,0.0,0.0,0.0,56,64.43,0.0,0.0,1.0,0.0,3.0,0.18011834319526626,2,6,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,1
132.85714285714286,109.0,25.0,0.8134328358208955,52.50529850746269,3.0047619047619047,256.0,545.0,0.46972477064220186,0.0,2.3666666666666667,3.033333333333333,0.6666666666666665,1.0,0.75,-0.25,54,69.6,0.0,0.0,2.0,1.0,3.5,0.06361546499477534,3,5,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0
39.42857142857143,27.0,13.0,0.675,26.3505,2.772727272727273,51.0,135.0,0.37777777777777777,0.0,3.033333333333333,3.0999999999999996,-0.22499999999999987,0.75,0.75,0.0,60,44.01,0.0,0.0,1.0,0.0,6.0,0.08316939890710383,4,5,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
12.0,7.0,6.0,0.5384615384615384,25.330000000000002,3.1571428571428575,13.0,35.0,0.37142857142857144,0.0,3.05,3.0,-0.04999999999999982,1.0,0.25,-0.75,18,53.42,0.0,0.0,1.0,0.0,3.0,0.13064377682403433,5+,5,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1
28.285714285714285,25.0,5.0,0.8333333333333334,70.46766666666667,3.344,111.0,200.0,0.555,0.0,4.0,3.3000000000000003,-0.6999999999999997,1.0,1.0,0.0,6,87.13,0.0,0.0,0.0,0.0,0.0,0.0,2,8,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0
7.428571428571429,5.0,3.0,0.625,15.79375,2.98,16.0,25.0,0.64,0.0,3.275,1.8,-1.4749999999999999,1.0,0.25,-0.75,55,45.3,0.0,0.0,2.0,2.0,1.0,0.13619686800894854,3,5,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,1
1.0,1.0,1.0,0.5,13.08,3.3,3.0,6.0,0.5,0.0,3.2499999999999996,3.0999999999999996,-0.22499999999999987,0.0,0.0,0.0,49,52.52,0.0,0.0,0.0,0.0,0.0,0.0,3,6,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1
8.857142857142858,7.0,3.0,0.7,17.369,3.0142857142857147,14.0,28.0,0.5,0.0,3.375,2.7,-0.6749999999999998,1.0,0.25,-0.75,46,41.5,0.0,0.0,0.0,0.0,0.0,0.0,2,4,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,1
164.42857142857142,151.0,15.0,0.9096385542168675,55.444216867469876,3.2841059602649003,558.0,1057.0,0.5279091769157994,0.0,3.075,3.325,0.25,1.0,1.0,0.0,20,62.04,0.0,0.0,0.0,0.0,0.0,0.0,5+,7,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,0
0.14285714285714285,1.0,0.0,1.0,22.46,1.7,1.0,6.0,0.16666666666666666,0.0,3.2499999999999996,3.0999999999999996,-0.22499999999999987,0.0,0.0,0.0,64,64.79,0.0,0.0,0.0,0.0,0.0,0.0,5+,6,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,1
54.714285714285715,34.0,22.0,0.6071428571428571,46.957499999999996,2.925806451612903,104.0,272.0,0.38235294117647056,0.0,3.0666666666666664,2.85,-0.21666666666666634,0.75,0.5,-0.25,58,88.79,0.0,0.0,2.0,1.0,1.5,0.1396330275229358,1,8,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,1
15.428571428571429,14.0,3.0,0.8235294117647058,44.190588235294115,3.276923076923077,35.0,70.0,0.5,0.0,3.4000000000000004,3.0,-0.40000000000000036,0.75,0.75,0.0,40,60.13,0.0,0.0,0.0,0.0,0.0,0.0,2,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0
75.85714285714286,75.0,2.0,0.974025974025974,101.8312987012987,3.6373333333333333,379.0,675.0,0.5614814814814815,0.0,3.675,3.55,-0.125,1.0,1.0,0.0,18,106.51,0.0,0.0,0.0,0.0,0.0,0.0,4,9,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
17.571428571428573,10.0,9.0,0.5263157894736842,50.504210526315795,2.7222222222222223,35.0,80.0,0.4375,0.0,2.733333333333333,2.4,-0.33333333333333304,0.75,0.25,-0.5,54,113.44,0.0,0.0,5.0,4.0,4.4,0.16454054054054054,2,8,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,1
21.714285714285715,13.0,10.0,0.5652173913043478,19.351739130434783,3.07,25.0,65.0,0.38461538461538464,0.0,3.125,3.0999999999999996,-0.22499999999999987,1.0,0.0,-1.0,56,45.23,0.0,0.0,3.0,3.0,5.0,0.07758708581138488,1,5,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,1
20.285714285714285,13.0,8.0,0.6190476190476191,17.709047619047617,2.8083333333333336,19.0,52.0,0.36538461538461536,0.0,3.4333333333333336,3.0999999999999996,-0.22499999999999987,0.75,0.0,-0.75,44,33.2,0.0,0.0,3.0,1.0,3.3333333333333335,0.10819905213270142,4,4,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,1
8.428571428571429,4.0,5.0,0.4444444444444444,11.022222222222222,2.725,5.0,12.0,0.4166666666666667,0.0,2.966666666666667,2.0,-0.9666666666666668,0.75,0.25,-0.5,40,35.88,0.0,0.0,2.0,1.0,4.0,0.09086567164179106,2,3,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,1
133.42857142857142,124.0,11.0,0.9185185185185185,57.59311111111111,3.195967741935484,485.0,992.0,0.4889112903225806,0.0,2.95,3.1500000000000004,0.20000000000000018,1.0,1.0,0.0,55,68.47,0.0,0.0,1.0,0.0,6.0,0.03167533818938606,2,8,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,0
